iter	Passed	Remaining
535	11425	9890
536	11431	9856
537	11439	9823
538	11450	9793
539	11459	9761
540	11467	9729
541	11474	9695
542	11479	9661
543	11488	9630
544	11495	9597
545	11504	9565
546	11509	9531
547	11516	9498
548	11522	9465
549	11531	9434
550	11539	9402
551	11545	9370
552	11552	9338
553	11557	9304
554	11565	9273
555	11571	9240
556	11578	9208
557	11588	9179
558	11598	9149
559	11604	9117
560	11612	9087
561	11620	9056
562	11630	9027
563	11640	8998
564	11651	8970
565	11656	8938
566	11671	8913
567	11685	8887
568	11695	8859
569	11702	8827
570	11708	8796
571	11718	8768
572	11725	8737
573	11732	8707
574	11741	8678
575	11750	8649
576	11756	8619
577	11766	8590
578	11774	8561
579	11783	8532
580	11788	8501
581	11794	8470
582	11803	8442
583	11809	8412
584	11815	8382
585	11821	8351
586	11829	8323
587	11838	8295
588	11845	8265
589	11852	8236
590	11859	8207
591	11867	8178
592	11876	8151
593	11883	8122
594	11888	8092
595	11895	8063
596	11905	8036
597	11915	8009
598	11927	7984
599	11934	7956
600	11942	7928
601	11952	7902
602	11959	7873
603	11967	7846
604	11975	7818
605	11985	7792
606	11990	7763
607	11999	7736
608	12003	7706
609	12007	7677
610	12016	7650
611	12025	7624
612	12032	7596
613	12039	7568
614	12046	7541
615	12056	7515
616	12062	7488
617	12069	7460
618	12077	7433
619	12082	7405
620	12089	7378
621	12099	7353
622	12106	7326
623	12115	7300
624	12122	7273
625	12128	7246
626	12138	7221
627	12150	7197
628	12156	7170
629	12163	7143
630	12171	7117
631	12180	7092
632	12187	7065
633	12194	7039
634	12203	7014
635	12212	6989
636	12219	6963
637	12227	6937
638	12234	6911
639	12242	6886
640	12250	6861
641	12259	6836
642	12266	6810
643	12275	6785
644	12284	6761
645	12290	6735
646	12296	6709
647	12305	6684
648	12313	6659
649	12320	6634
650	12329	6609
651	12337	6585
652	12344	6559
653	12350	6534
654	12357	6508
655	12365	6484
656	12374	6460
657	12383	6436
658	12391	6411
659	12399	6387
660	12406	6362
661	12417	6339
662	12425	6315
663	12432	6291
664	12441	6267
665	12449	6243
666	12458	6219
667	12464	6194
668	12474	6172
669	12481	6147
670	12491	6124
671	12500	6101
672	12507	6077
673	12517	6054
674	12526	6031
675	12532	6006
676	12541	5983
677	12548	5959
678	12554	5935
679	12561	5911
680	12568	5887
681	12575	5863
682	12582	5840
683	12591	5817
